step,b0_x,b0_y,b0_z,b1_x,b1_y,b1_z,b2_x,b2_y,b2_z,b3_x,b3_y,b3_z,b4_x,b4_y,b4_z,b5_x,b5_y,b5_z,b6_x,b6_y,b6_z,b7_x,b7_y,b7_z,b8_x,b8_y,b8_z,b9_x,b9_y,b9_z,b10_x,b10_y,b10_z,b11_x,b11_y,b11_z
13,0.108080015,-0.109061874,9.66989613,0.479291916,0.00254649576,9.18658829,0.876827955,0.137969151,8.70868874,1.29899168,-0.0509312488,8.2288866,1.65283024,0.044254005,7.70575905,1.95524871,0.162663296,7.18370199,2.25781822,-0.0497069359,6.67428017,2.62020731,0.0377083868,6.19065952,3.06399012,0.166487664,5.75804853,3.4574883,-0.039537251,5.27115154,3.7782371,0.0245070346,4.72392464,4.03007364,0.185212836,4.21383333
14,0.11647132,-0.116738468,9.62517357,0.487644523,-0.00507879071,9.14319038,0.887153029,0.131589815,8.66691113,1.31295586,-0.0543112978,8.18835545,1.66528642,0.0398054942,7.66361523,1.96277392,0.158255354,7.14031887,2.2610898,-0.0531804301,6.63029814,2.62249351,0.0330858417,6.1483345,3.07105017,0.162105963,5.72060156,3.46664,-0.0423218347,5.23412132,3.78340793,0.0188833904,4.68387413,4.02620983,0.182332888,4.17480707
15,0.124944016,-0.124399155,9.57764721,0.496065646,-0.0126958843,9.09700489,0.897544622,0.125147238,8.62235355,1.32695484,-0.0576640479,8.14502335,1.67773175,0.0353818946,7.61868286,1.97028923,0.153823122,7.09418631,2.2644341,-0.0566491075,6.58356714,2.62481308,0.0285211448,6.10330296,3.07807493,0.157660842,5.68044233,3.47578883,-0.045103021,5.19432259,3.78851891,0.013320066,4.64110851,4.02224874,0.17940478,4.1332674
16,0.133497536,-0.132043779,9.52731705,0.504555285,-0.0203044917,9.04803371,0.908002079,0.118642323,8.57501793,1.34098482,-0.0609906167,8.09889317,1.69016302,0.0309818704,7.57096577,1.97779381,0.149368808,7.04530764,2.26785064,-0.0601134114,6.53408909,2.62716794,0.0240123179,6.05556345,3.08506632,0.153153732,5.63756847,3.48493242,-0.0478810817,5.15175438,3.79356909,0.00781618617,4.59562874,4.01819658,0.176429585,4.08920813
17,0.142131254,-0.13967222,9.47418594,0.513113439,-0.0279043522,8.99627781,0.918524742,0.112076014,8.52490711,1.35504198,-0.0642920658,8.04996777,1.70257723,0.0266040489,7.5204668,1.98528671,0.144894555,6.99368525,2.27133822,-0.0635737106,6.48186541,2.62956023,0.0195573885,6.00511503,3.092026,0.148586094,5.59197664,3.49406886,-0.0506562516,5.1064167,3.79855776,0.00237077521,4.54743433,4.01405859,0.173408359,4.04262304
18,0.150844678,-0.147284314,9.4182539,0.521740198,-0.0354951695,8.94173908,0.929111958,0.105449244,8.47202206,1.36912262,-0.0675694644,7.99824953,1.71497166,0.0222471021,7.46719027,1.99276721,0.140402347,6.93932152,2.27489614,-0.0670302883,6.42689705,2.63199139,0.0151545107,5.95195675,3.09895563,0.143959254,5.54366493,3.50319552,-0.0534287654,5.05830956,3.8034842,-0.00301715452,4.49652624,4.00984049,0.170342222,3.99350691
19,0.159637317,-0.154879928,9.35952377,0.530435741,-0.043076653,8.88441944,0.939763188,0.0987629741,8.41636467,1.38322318,-0.0708238631,7.94374132,1.72734356,0.0179097001,7.41113901,2.00023484,0.135894045,6.88221884,2.27852368,-0.0704833642,6.36918592,2.63446331,0.0108018871,5.89608717,3.10585666,0.139274538,5.49263096,3.51231027,-0.0561988279,5.00743294,3.80834794,-0.0083486354,4.44290447,4.00554705,0.16723226,3.941854
20,0.168508664,-0.162458926,9.29799557,0.539200127,-0.0506485216,8.82431889,0.950477839,0.0920182019,8.35793686,1.39734018,-0.0740562901,7.88644552,1.73969078,0.0135905072,7.3523159,2.007689,0.131371394,6.82237959,2.28221989,-0.0739330798,6.30873299,2.63697743,0.00649778591,5.83750486,3.11273074,0.134533226,5.43887234,3.52141047,-0.0589666292,4.95378685,3.81314826,-0.0136247724,4.3865695,4.00118351,0.164079621,3.88765883
21,0.177458346,-0.170021147,9.23367119,0.548033595,-0.0582104884,8.76143932,0.961255431,0.0852158964,8.29674053,1.41147029,-0.077267766,7.82636452,1.75201094,0.00928825699,7.2907238,2.01512957,0.126835987,6.7598052,2.28598404,-0.0773795545,6.24553967,2.63953519,0.00224059168,5.77620935,3.11957908,0.129736573,5.38238716,3.53049397,-0.0617323667,4.89737129,3.81788445,-0.0188466497,4.3275218,3.99675465,0.160885409,3.83091617
22,0.186485976,-0.177566454,9.16655159,0.556936324,-0.0657622665,8.69578171,0.972095549,0.0783570781,8.23277664,1.42561042,-0.0804592893,7.76349974,1.76430213,0.00500167999,7.22636557,2.0225563,0.122289315,6.69449759,2.28981543,-0.0808228403,6.17960691,2.642138,-0.00197127508,5.71219921,3.12640285,0.124885753,5.323174,3.53955865,-0.0644962117,4.83818722,3.82255626,-0.0240154117,4.26576185,3.99226522,0.157650769,3.77162051
