step,b0_x,b0_y,b0_z,b1_x,b1_y,b1_z,b2_x,b2_y,b2_z,b3_x,b3_y,b3_z,b4_x,b4_y,b4_z,b5_x,b5_y,b5_z,b6_x,b6_y,b6_z,b7_x,b7_y,b7_z,b8_x,b8_y,b8_z,b9_x,b9_y,b9_z,b10_x,b10_y,b10_z,b11_x,b11_y,b11_z
13,0.108080022,-0.109061919,9.66989613,0.479292065,0.00254646828,9.18658924,0.876828074,0.137969106,8.70868874,1.29899168,-0.0509312116,8.2288866,1.65283024,0.0442540906,7.70575953,1.95524859,0.162663251,7.18370199,2.25781822,-0.0497068986,6.67428064,2.62020731,0.0377084538,6.19066,3.06398988,0.166487589,5.75804853,3.4574883,-0.0395372808,5.27115154,3.7782371,0.0245071128,4.72392511,4.03007364,0.185212791,4.21383333
14,0.116471358,-0.116738506,9.62517357,0.487644672,-0.00507881446,9.14319134,0.887153149,0.131589755,8.66691113,1.31295586,-0.0543112643,8.18835545,1.66528642,0.0398055837,7.6636157,1.9627738,0.158255324,7.14031887,2.2610898,-0.0531803966,6.63029861,2.62249351,0.033085905,6.14833498,3.07104993,0.162105903,5.72060156,3.46663976,-0.042321872,5.23412132,3.78340793,0.0188834667,4.68387413,4.02620983,0.182332844,4.17480707
15,0.124944061,-0.124399193,9.57764721,0.496065795,-0.0126959058,9.09700584,0.897544801,0.125147179,8.62235355,1.32695484,-0.0576640218,8.14502335,1.67773175,0.035381984,7.61868334,1.97028911,0.153823093,7.09418631,2.2644341,-0.0566490702,6.58356762,2.62481308,0.0285212081,6.10330343,3.07807469,0.157660782,5.68044233,3.47578859,-0.0451030619,5.19432259,3.78851891,0.013320148,4.64110851,4.02224874,0.179404736,4.1332674
16,0.133497611,-0.132043809,9.52731705,0.504555464,-0.0203045122,9.04803467,0.908002257,0.118642256,8.57501793,1.34098494,-0.0609905906,8.09889317,1.69016302,0.0309819728,7.57096624,1.97779357,0.149368793,7.04530764,2.26785064,-0.0601133816,6.53408957,2.62716794,0.0240123738,6.05556393,3.08506608,0.153153688,5.63756847,3.48493218,-0.0478811264,5.15175486,3.79356909,0.00781626161,4.59562874,4.01819658,0.17642954,4.08920765
17,0.142131358,-0.13967225,9.47418594,0.513113678,-0.0279043671,8.99627876,0.918524921,0.11207594,8.52490711,1.3550421,-0.064292036,8.04996777,1.70257723,0.0266041625,7.52046728,1.98528647,0.14489454,6.99368525,2.27133822,-0.0635736808,6.48186588,2.62956023,0.0195574556,6.00511551,3.09202576,0.148586035,5.59197664,3.49406862,-0.0506563,5.10641718,3.79855776,0.00237086951,4.54743433,4.01405859,0.173408315,4.04262257
18,0.150844797,-0.147284344,9.4182539,0.521740496,-0.0354951806,8.94174004,0.929112136,0.10544917,8.47202206,1.36912274,-0.0675694421,7.99824953,1.71497154,0.0222472157,7.46719074,1.99276698,0.140402332,6.93932152,2.27489614,-0.0670302585,6.42689753,2.63199139,0.0151545787,5.95195723,3.09895539,0.143959194,5.54366493,3.50319529,-0.0534288138,5.05831003,3.8034842,-0.00301705976,4.49652624,4.00984049,0.170342177,3.99350643
19,0.159637451,-0.154879957,9.35952377,0.530436039,-0.0430766642,8.88441944,0.939763427,0.0987628922,8.41636467,1.3832233,-0.0708238408,7.94374132,1.72734344,0.0179098286,7.41113901,2.0002346,0.13589403,6.88221931,2.27852368,-0.0704833344,6.3691864,2.63446331,0.0108019626,5.89608765,3.10585642,0.139274463,5.49263096,3.51231003,-0.0561988801,5.00743294,3.80834794,-0.00834852643,4.44290447,4.00554705,0.167232215,3.94185376
20,0.168508738,-0.162458971,9.29799557,0.539200366,-0.0506485477,8.82431889,0.950478077,0.0920181423,8.35793686,1.3973403,-0.0740562603,7.88644552,1.73969066,0.013590618,7.3523159,2.007689,0.131371379,6.82238007,2.28221989,-0.0739330426,6.30873346,2.63697743,0.00649785995,5.83750534,3.1127305,0.134533152,5.43887234,3.52141023,-0.0589666851,4.95378685,3.81314826,-0.0136246476,4.3865695,4.00118351,0.164079577,3.8876586
21,0.177458405,-0.170021191,9.23367119,0.548033774,-0.0582105145,8.76143932,0.96125567,0.0852158368,8.29674053,1.41147041,-0.0772677287,7.82636452,1.75201094,0.00928836409,7.2907238,2.01512957,0.126835957,6.75980568,2.28598404,-0.0773795173,6.24554014,2.63953519,0.00224066898,5.77620983,3.11957884,0.129736483,5.38238716,3.53049374,-0.0617324226,4.89737129,3.81788445,-0.0188465193,4.3275218,3.99675465,0.160885364,3.83091593
22,0.186486006,-0.177566499,9.16655159,0.556936502,-0.0657622889,8.69578171,0.972095728,0.0783570185,8.23277664,1.42561054,-0.080459252,7.76350021,1.76430213,0.00500176568,7.22636557,2.0225563,0.122289293,6.69449806,2.28981543,-0.0808227882,6.17960739,2.642138,-0.00197120453,5.71219969,3.12640262,0.124885663,5.323174,3.53955841,-0.0644962639,4.83818722,3.82255602,-0.0240152702,4.26576185,3.99226499,0.157650724,3.77162027
